none[0.1294]  arg1_node[0.2283]  arg2_node[0.6423]  arg2_node
none[0.9974]  arg1_node[0.0013]  arg2_node[0.0013]  none
none[0.9974]  arg1_node[0.0013]  arg2_node[0.0013]  none
none[0.9765]  arg1_node[0.0230]  arg2_node[0.0005]  none
none[0.9780]  arg1_node[0.0215]  arg2_node[0.0005]  none
none[0.9974]  arg1_node[0.0013]  arg2_node[0.0013]  none
none[0.9778]  arg1_node[0.0217]  arg2_node[0.0005]  none
none[0.9981]  arg1_node[0.0009]  arg2_node[0.0010]  none
none[0.9200]  arg1_node[0.0791]  arg2_node[0.0010]  none
none[0.7367]  arg1_node[0.2621]  arg2_node[0.0013]  none
none[0.9981]  arg1_node[0.0009]  arg2_node[0.0010]  none
none[0.9501]  arg1_node[0.0490]  arg2_node[0.0010]  none
none[0.4689]  arg1_node[0.5260]  arg2_node[0.0051]  arg1_node
none[0.9981]  arg1_node[0.0009]  arg2_node[0.0010]  none
none[0.9091]  arg1_node[0.0887]  arg2_node[0.0022]  none
none[0.9698]  arg1_node[0.0260]  arg2_node[0.0042]  none
none[0.9969]  arg1_node[0.0021]  arg2_node[0.0011]  none
none[0.9982]  arg1_node[0.0001]  arg2_node[0.0016]  none
none[0.0396]  arg1_node[0.0002]  arg2_node[0.9602]  arg2_node
none[0.9956]  arg1_node[0.0000]  arg2_node[0.0044]  none
none[0.9422]  arg1_node[0.0000]  arg2_node[0.0578]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0021]  none
none[0.9956]  arg1_node[0.0000]  arg2_node[0.0044]  none
none[0.9956]  arg1_node[0.0000]  arg2_node[0.0044]  none
none[0.9956]  arg1_node[0.0000]  arg2_node[0.0044]  none
none[0.9956]  arg1_node[0.0000]  arg2_node[0.0044]  none
