none[0.8441]  arg1_node[0.1388]  arg2_node[0.0171]  none
none[0.5642]  arg1_node[0.3981]  arg2_node[0.0377]  none
none[0.7331]  arg1_node[0.1387]  arg2_node[0.1282]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0028]  none
none[0.9871]  arg1_node[0.0075]  arg2_node[0.0053]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0028]  none
none[0.5680]  arg1_node[0.0047]  arg2_node[0.4273]  none
none[0.9882]  arg1_node[0.0000]  arg2_node[0.0117]  none
none[0.9769]  arg1_node[0.0003]  arg2_node[0.0228]  none
none[0.9882]  arg1_node[0.0000]  arg2_node[0.0118]  none
none[0.9882]  arg1_node[0.0000]  arg2_node[0.0118]  none
none[0.9883]  arg1_node[0.0000]  arg2_node[0.0116]  none
none[0.9882]  arg1_node[0.0000]  arg2_node[0.0118]  none
none[0.9882]  arg1_node[0.0000]  arg2_node[0.0118]  none
none[0.9882]  arg1_node[0.0000]  arg2_node[0.0118]  none
none[0.9881]  arg1_node[0.0000]  arg2_node[0.0118]  none
none[0.9817]  arg1_node[0.0037]  arg2_node[0.0145]  none
none[0.9883]  arg1_node[0.0000]  arg2_node[0.0117]  none
none[0.9883]  arg1_node[0.0000]  arg2_node[0.0117]  none
none[0.9887]  arg1_node[0.0000]  arg2_node[0.0112]  none
none[0.9887]  arg1_node[0.0000]  arg2_node[0.0112]  none
none[0.9844]  arg1_node[0.0001]  arg2_node[0.0156]  none
none[0.9887]  arg1_node[0.0000]  arg2_node[0.0112]  none
none[0.9844]  arg1_node[0.0001]  arg2_node[0.0156]  none
none[0.9883]  arg1_node[0.0000]  arg2_node[0.0116]  none
none[0.9883]  arg1_node[0.0000]  arg2_node[0.0117]  none
none[0.9883]  arg1_node[0.0000]  arg2_node[0.0117]  none
none[0.9879]  arg1_node[0.0000]  arg2_node[0.0120]  none
none[0.9879]  arg1_node[0.0000]  arg2_node[0.0120]  none
none[0.9844]  arg1_node[0.0001]  arg2_node[0.0156]  none
none[0.9879]  arg1_node[0.0000]  arg2_node[0.0120]  none
none[0.9844]  arg1_node[0.0001]  arg2_node[0.0156]  none
